,outlier_count,outlier_percentage,lower_bound,upper_bound,Q1,Q3,IQR,min,max,mean,median
Ticket_Medio,1144.0,11.296534017971759,20.57142253453106,92.41982396406837,47.514573070607554,65.47667342799188,17.96210035738433,19.13793103448276,190.1931818181818,62.61271690294649,55.7948717948718
Credit_Limit,984.0,9.7165991902834,-10213.75,23836.25,2555.0,11067.5,8512.5,1438.3,34516.0,8631.953698034955,4549.0
Avg_Open_To_Buy,963.0,9.509232744149305,-11477.25,22660.75,1324.5,9859.0,8534.5,3.0,34516.0,7469.139636614989,3474.0
Gasto_Medio_Mensal,933.0,9.212994963957737,-56.138945195195184,259.8612049549549,62.36111111111112,141.36114864864865,79.00003753753754,10.0,1256.8461538461538,131.01197714166275,105.8
Total_Trans_Amt,896.0,8.847635035054804,-1722.75,8619.25,2155.5,4741.0,2585.5,510.0,18484.0,4404.086303939963,3899.0
Contacts_Count_12_mon,629.0,6.211118791349857,0.5,4.5,2.0,3.0,1.0,0.0,6.0,2.4553174681544387,2.0
Total_Amt_Chng_Q4_Q1,396.0,3.9103386985286854,0.28900000000000003,1.201,0.631,0.859,0.22799999999999998,0.0,3.397,0.7599406536980349,0.736
Total_Ct_Chng_Q4_Q1,394.0,3.890589513182581,0.22799999999999998,1.172,0.582,0.818,0.236,0.0,3.714,0.7122223758269972,0.702
Months_on_book,386.0,3.8115927717981632,17.5,53.5,31.0,40.0,9.0,13.0,56.0,35.928409203120374,36.0
Months_Inactive_12_mon,331.0,3.2684901747802906,0.5,4.5,2.0,3.0,1.0,0.0,6.0,2.3411671768539546,2.0
Transacoes_por_Mes,271.0,2.676014614397156,-0.3598484848484851,3.993686868686869,1.2727272727272727,2.361111111111111,1.0883838383838385,0.1886792452830188,9.76923076923077,1.9231200733916662,1.8571428571428568
Total_Trans_Ct,2.0,0.019749185346104474,-9.0,135.0,45.0,81.0,36.0,10.0,139.0,64.85869457884863,67.0
Customer_Age,2.0,0.019749185346104474,24.5,68.5,41.0,52.0,11.0,26.0,73.0,46.32596030413745,46.0
Dependent_count,0.0,0.0,-2.0,6.0,1.0,3.0,2.0,0.0,5.0,2.3462032191172115,2.0
Total_Relationship_Count,0.0,0.0,0.0,8.0,3.0,5.0,2.0,1.0,6.0,3.8125802310654686,4.0
Total_Revolving_Bal,0.0,0.0,-1778.5,3921.5,359.0,1784.0,1425.0,0.0,2517.0,1162.8140614199665,1276.0
Avg_Utilization_Ratio,0.0,0.0,-0.697,1.2229999999999999,0.023,0.503,0.48,0.0,0.999,0.2748935518909845,0.176
Rotativo_Ratio,0.0,0.0,-0.6972517992694034,1.2226572750600073,0.0227141036041256,0.5026913721864783,0.4799772685823527,0.0,0.9987679671457904,0.2748919858452803,0.1756499682942295
Disponibilidade_Relativa,0.0,0.0,-0.22265727506000765,1.6972517992694036,0.4973086278135216,0.9772858963958744,0.4799772685823528,0.0012320328542094,1.0,0.7251080141547196,0.8243500317057705
